Asset Name,Asset Number,Asset Category,Serial Number,Model,Manufacturer,Location,Status
All in One Desktop,Dotmac/OE/Dt001,Office Equipment,8CC9491MCH,HP 20-C412NH,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt002,Office Equipment,8CC9491MCM,HP 20-C412NH,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt003,Office Equipment,8CC9491MCD,HP 20-C412NH,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt004,Office Equipment,8CC9491M9W,HP 20-C412NH,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt005,Office Equipment,8CC02828BX,HP 200G4AIO I5-10210U,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt006,Office Equipment,YJ00QRD9,LENOVO V130-201GM,LENOVO,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt007,Office Equipment,8CC85010KF,HP 24-XA0057C,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt008,Office Equipment,8CC841051K,HP 24-XA0057C,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt009,Office Equipment,8CC9491MBB,HP 20-c412nh,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt010,Office Equipment,8CC2251GTW,HP 24-cb1004ne,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt011,Office Equipment,YJ00QR8Z,LENOVO V130-201GM,LENOVO,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt012,Office Equipment,8CC9491MGL,HP 20-c412NH,HP,Garki,DRAFT
All in One Desktop,Dotmac/OE/Dt013,Office Equipment,SKU: 4G1K9EA#BH5,,HP,Garki,DRAFT
All in One Desktop,Dotmac/OE/Dt014,Office Equipment,8CC2251GST,HP 24-cb1004ne,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt015,Office Equipment,8CC84104MK,HP 24-XA0057C,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt016,Office Equipment,8CC2251GQC,HP 24-cb1004ne,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt017,Office Equipment,8CC84415QT,HP 24-XA0057C,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt018,Office Equipment,8CC2251GSQ,HP 24-cb1004ne,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt019,Office Equipment,8CC20814TK,HP 24-DF1103NH,HP,Garki,ACTIVE
All in One Desktop,Dotmac/OE/Dt020,Office Equipment,8CC8352DPW,HP 24-XA0057C,HP,Garki,ACTIVE
