item_code,item_name,base_uom,track_lots,track_serial_numbers,is_active
100A Single Phase,100A Single Phase,Nos,f,f,t
100mbps/100mbps Dedicated Internet,100mbps/100mbps Dedicated Internet,Nos,f,f,t
10G SFP BIDI 60KM,10G SFP BIDI 60KM,Nos,f,f,t
10G SM SFP - Ubiquiti,10G SM SFP - Ubiquiti,Nos,f,f,t
10kva - Thermocool Generator,10kva - Thermocool Generator,Nos,f,f,t
10mm Copper Cable,10mm Copper Cable,Meter,f,f,t
10mm DC Cable,10mm DC Cable,Meter,f,f,t
11/2 Steel Pole,11/2 Steel Pole,Nos,f,f,t
11/4 Steel Pole,11/4 Steel Pole,Nos,f,f,t
1:1 Redundant Kit – XTC-114D redundant,1:1 Redundant Kit – XTC-114D redundant,Nos,f,f,t
1:1 Redundant System,1:1 Redundant System,Centimeter,f,f,t
12Core FOC,12Core FOC,Meter,f,f,t
12Port Patch Panel,12Port Patch Panel,Nos,f,f,t
12U Rack,12U Rack,Nos,f,f,t
13 amp plug,13 amp plug,Nos,f,f,t
1.5hp Split Unit AC,1.5hp Split Unit AC,Nos,f,f,t
1.5KVA Inverter,1.5KVA Inverter,Nos,f,f,t
1.5mm Coil Cable,1.5mm Coil Cable,Meter,f,f,t
16MM Flex Cable,16MM Flex Cable,Meter,f,f,t
16MM Hard Core Cable,16MM Hard Core Cable,Nos,f,f,t
1Core FOC,1Core FOC,Meter,f,f,t
1 inch Steel pole,1 inch Steel pole,Nos,f,f,t
1KVA-12V Inverter,1KVA-12V Inverter,Nos,f,f,t
200AH durasol tubular battery,200AH durasol tubular battery,Nos,f,f,t
220ah Inverter Battery,220ah Inverter Battery,Nos,f,f,t
220V AC to 48V DC Deluxe Converter (360W),220V AC to 48V DC Deluxe Converter (360W),Nos,f,f,t
22mm Clip,22mm Clip,Box,f,f,t
22U Network Rack,22U Network Rack,Nos,f,f,t
24Core FOC,24Core FOC,Meter,f,f,t
24Port Patch Panel,24Port Patch Panel,Nos,f,f,t
256GB SSD,256GB SSD,Nos,f,f,t
2.5 HDD Caddy Converter,2.5 HDD Caddy Converter,Nos,f,f,t
2.5mm Coil Cable,2.5mm Coil Cable,Meter,f,f,t
2.5mm Flex Cable,2.5mm Flex Cable,Meter,f,f,t
27U Network Rack,27U Network Rack,Nos,f,f,t
28Port POE( Cisco),28Port POE( Cisco),Nos,f,f,t
2Core FOC,2Core FOC,Meter,f,f,t
2-Pole Schneider Breaker,2-Pole Schneider Breaker,Nos,f,f,t
32Amps - Change Over,32Amps - Change Over,Nos,f,f,t
32GB DDR4 2666V RAM For Dell PowerEdge,32GB DDR4 2666V RAM For Dell PowerEdge,Nos,f,f,t
32GB Sever RAM,32GB Sever RAM,Nos,f,f,t
3.5Kva 24v - Inverter,3.5Kva 24v - Inverter,Nos,f,f,t
3.5kva - Thermocool Generator,3.5kva - Thermocool Generator,Nos,f,f,t
38mm Rim Binder,38mm Rim Binder,Nos,f,f,t
3kva 24v inverter,3kva 24v inverter,Nos,f,f,t
40kva HT33040 Inverter,40kva HT33040 Inverter,Nos,f,f,t
410a Black Toner Cartridge,410a Black Toner Cartridge,Nos,f,f,t
410a Cyan Toner Cartridge,410a Cyan Toner Cartridge,Nos,f,f,t
410a Magenta Toner Cartridge,410a Magenta Toner Cartridge,Nos,f,f,t
410a Yellow Toner Cartridge,410a Yellow Toner Cartridge,Nos,f,f,t
48Core Corning Closure,48Core Corning Closure,Nos,f,f,t
48Core Dome Closure,48Core Dome Closure,Nos,f,f,t
48Core FOC,48Core FOC,Meter,f,f,t
48 Port Fibre Enclosure (130X1),48 Port Fibre Enclosure (130X1),Nos,f,f,t
48 port POE+ switch-S5735 S48P4XE-V2,48 port POE+ switch-S5735 S48P4XE-V2,Nos,f,f,t
48v AC - DC Inverter Converter,48v AC - DC Inverter Converter,Nos,f,f,t
48V DC Outdoor Cabinet,48V DC Outdoor Cabinet,Nos,f,f,t
48 Volts Adapter,48 Volts Adapter,Nos,f,f,t
48V POE,48V POE,Nos,f,f,t
4GB Laptop Ram,4GB Laptop Ram,Nos,f,f,t
4Litres Oil Paint,4Litres Oil Paint,Nos,f,f,t
4mm Coil Cable,4mm Coil Cable,Meter,f,f,t
500GB HDD,500GB HDD,Nos,f,f,t
512GB SSD,512GB SSD,Nos,f,f,t
5Kva 48v - Inverter,5Kva 48v - Inverter,Nos,f,f,t
5KVA Sueon Inverter,5KVA Sueon Inverter,Nos,f,f,t
60mbps/60mbps Dedicated Internet.,60mbps/60mbps Dedicated Internet.,Nos,f,f,t
6.25kVA - Thermocool Generator,6.25kVA - Thermocool Generator,Nos,f,f,t
650- Mercury UPS,650- Mercury UPS,Nos,f,f,t
6mm Coil Cable,6mm Coil Cable,Meter,f,f,t
7.5Kva Inverter,7.5Kva Inverter,Nos,f,f,t
8Core FOC,8Core FOC,Meter,f,f,t
8mm Cable,8mm Cable,Meter,f,f,t
8mm Clip,8mm Clip,Box,f,f,t
96Core Dome Closure,96Core Dome Closure,Nos,f,f,t
96Core Fiber Cabinet,96Core Fiber Cabinet,Nos,f,f,t
96Core FOC,96Core FOC,Meter,f,f,t
9U Rack,9U Rack,Nos,f,f,t
A4 Paper - Reams,A4 Paper - Reams,Box,f,f,t
ACB-AC,ACB-AC,Nos,f,f,t
Acer aspire keyboard,Acer aspire keyboard,Nos,f,f,t
Acer Projector X1120H,Acer Projector X1120H,Nos,f,f,t
AC Switch,AC Switch,Nos,f,f,t
ADAPTER - Blue,ADAPTER - Blue,Nos,f,f,t
ADAPTER - Green,ADAPTER - Green,Nos,f,f,t
